FID,id,name,Confirmed cases today,Cumulative confirmed cases,Dead cases,Recovered cases,Population (million),en_name
0,f65,新疆维吾尔自治区,0,76,3,73,24,Xinjiang
1,f54,西藏自治区,0,1,0,1,3,Xizang
2,f15,内蒙古自治区,19,94,1,74,25,Inner Mongolia
3,f63,青海省,0,18,0,18,6,Qinghai
4,f51,四川省,9,548,3,536,83,Sichuan
5,f23,黑龙江省,2,484,13,469,38,Heilongjiang
6,f62,甘肃省,9,136,2,125,26,Gansu
7,f53,云南省,6,180,2,172,48,Yunnan
8,f45,广西壮族自治区,2,254,2,250,49,Guangxi
9,f43,湖南省,0,101,4,101,69,Hunan
10,f61,陕西省,8,253,3,242,38,Shaanxi
11,f44,广东省,118,146,8,134,112,Guangdong
12,f22,吉林省,5,98,1,92,27,Jilin
13,f13,河北省,3,319,6,310,75,Hebei
14,f42,湖北省,952,978,317,920,59,Hubei
15,f52,贵州省,0,146,2,144,36,Guizhou
16,f37,山东省,13,772,7,752,100,Shandong
17,f36,江西省,1,936,1,934,46,Jiangxi
18,f41,河南省,2,775,22,751,96,Henan
19,f21,辽宁省,6,132,2,124,44,Liaoning
20,f14,山西省,3,136,0,133,37,Shanxi
21,f34,安徽省,0,990,6,984,63,Anhui
22,f35,福建省,41,337,1,295,39,Fujian
23,f33,浙江省,25,125,1,122,57,Zhejiang
24,f32,江苏省,10,641,0,631,80,Jiangsu
25,f50,重庆市,3,579,6,570,30,Chongqing
26,f64,宁夏回族自治区,0,75,0,75,7,Ningxia
27,f46,海南省,0,168,6,162,9,Hainan
28,f71,台湾省,251,283,2,30,24,Taiwan
29,f11,北京市,155,573,8,410,22,Beijing
30,f12,天津市,25,161,3,133,16,Tianjin
31,f31,上海市,146,485,5,334,24,Shanghai
32,f81,香港特别行政区,445,561,4,112,7,Hong Kong
33,f82,澳门特别行政区,27,37,0,10,1,Macau
